Timestamp,1. Umur anda (sila nyatakan),2. Kaum,3. Agama,4. Negeri Tempat Mengundi,Negeri,5. Bil elektrik bulan terakhir anda,6. Tahap pendidikan tertinggi anda,7. Adakah anda pengundi berdaftar?,8. Media sosial di Internet merupakan sumber maklumat utama saya mengenai isu semasa berbanding media cetak dan televisyen.,9. Dasar Transformasi Nasional yang diperkenalkan kerajaan mampu membawa kemakmuran kepada negara pada masa depan.,10. Tun Mahathir Mohamad adalah negarawan ulung negara.,11. Pilihan Raya Umum Ke 14 akan memberi sinar perubahan baharu kepada politik dan ekonomi Malaysia.,12. Cukai GST harus dikekalkan bagi menjamin pembangunan negara yang berterusan.,13. Isu agama dan kaum perlu diberi perhatian utama berbanding ekonomi dan pembangunan.,14. Bagaimana anda menilai pencapaian Datuk Seri Najib Tun Razak sebagai Perdana Menteri ?,"15. Sekiranya Pilihanraya Umum (PRU) diadakan esok,parti mana yang akan anda pilih?"
3/29/2018 8:08:25,24,Melayu,Islam,Pahang,Pahang,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Ya,Puas Hati,Pas dan Gabungan nya
3/29/2018 8:10:19,21,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Sedikit Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 8:14:18,36,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Ya,Tidak Pasti,Ya,Tidak,Tidak,Tidak,Puas Hati,Pas dan Gabungan nya
3/29/2018 8:24:07,25,Melayu,Islam,Kuala lumpur,Kuala Lumpur,RM 301 - RM 500,Ijazah Sarjana Muda,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 8:32:24,37,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Ya,Ya,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 8:48:44,29,Melayu,Islam,Pulau Pinang,Pulau Pinang,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Tidak Pasti,Tidak Pasti,Tidak,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 9:02:30,32,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 9:35:29,38,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 9:37:40,39,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Tidak,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 9:42:35,25,Melayu,Islam,Pulau Pinang,Pulau Pinang,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 9:56:37,39,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Tidak,Ya,Tidak,Tidak Pasti,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 10:53:51,30,Melayu,Islam,Pulau Pinang,Pulau Pinang,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Tidak,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 11:37:49,33,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 11:51:22,36,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 11:57:31,43,Melayu,Islam,cheras kuala lumpur,Kuala Lumpur,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak Pasti,Sedikit Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 12:02:52,56,Melayu,Islam,Selangor,Selangor,RM 301 - RM 500,Siswazah (Masters/PHD),Ya,Ya,Tidak,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 12:05:55,22,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Diploma / Sijil,Tidak,Tidak,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 12:06:17,35,Melayu,Islam,terengganu,Terengganu,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Ya,Tidak,Tidak Pasti,Tidak Pasti,Ya,Puas Hati,Pas dan Gabungan nya
3/29/2018 12:19:53,22,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Diploma / Sijil,Tidak,Tidak,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 12:24:15,26,Melayu,Islam,Perlis,Perlis,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Tidak,Tidak Pasti,Ya,Ya,Tidak,Ya,Sedikit Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 12:31:50,22,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 12:32:01,35,Melayu,Islam,Selangor,Selangor,RM 301 - RM 500,Siswazah (Masters/PHD),Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 12:41:45,38,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Diploma / Sijil,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak Pasti,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 12:53:12,24,Melayu,Islam,perak,Perak,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 12:57:41,22,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Ijazah Sarjana Muda,Tidak,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Ya,Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 12:57:52,24,Melayu,Islam,KL,Kuala Lumpur,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 13:04:46,23,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 13:06:33,22,Cina,Buddha,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Tidak Pasti,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 13:18:57,35,Melayu,Islam,Kelantan,Kelantan,RM 0 - RM 100,Diploma / Sijil,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Sedikit Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 13:36:29,35,Melayu,Islam,Pahang,Pahang,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 13:41:20,24,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Tidak,Tidak Pasti,Ya,Ya,Ya,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 13:53:35,25,Melayu,Islam,Perlis,Perlis,RM 101 - RM 300,Diploma / Sijil,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 14:20:22,44,Melayu,Islam,Johor,Johor,RM 101 - RM 300,SRP/PMR atau lebih rendah,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 14:53:10,23,Cina,Kristian,Pulau Pinang,Pulau Pinang,RM 0 - RM 100,STPM atau setaraf,Ya,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Pasti,Ya,Puas Hati,Tidak Pasti
3/29/2018 14:53:20,21,Melayu,Islam,Perak,Perak,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak Pasti,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 14:55:28,40,Melayu,Islam,Kedah,Kedah,RM 500 dan lebih,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Sedikit Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 14:57:32,35,Melayu,Islam,Perlis,Perlis,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Ya,Tidak,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 15:02:46,23,Cina,Buddha,Selangor,Selangor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 15:15:55,39,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 15:16:00,23,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Tidak,Tidak Pasti,Tidak,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 15:20:01,22,Cina,Buddha,Pahang,Pahang,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 15:28:36,22,Melayu,Islam,Kelantan,Kelantan,RM 301 - RM 500,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Puas Hati,Barisan Nasional (BN)
3/29/2018 15:29:23,23,Melayu,Islam,Johor,Johor,RM 0 - RM 100,STPM atau setaraf,Ya,Ya,Tidak Pasti,Ya,Ya,Ya,Tidak Pasti,Puas Hati,Tidak Pasti
3/29/2018 15:33:47,23,Melayu,Islam,Sabah,Sabah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 15:36:07,22,Melayu,Islam,Kedah,Kedah,RM 301 - RM 500,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Ya,Ya,Sedikit Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 15:41:58,23,Melayu,Islam,Perak ,Perak,RM 0 - RM 100,STPM atau setaraf,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 15:44:23,42,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 15:47:57,24,Cina,Buddha,Kedah,Kedah,RM 500 dan lebih,Diploma / Sijil,Tidak,Ya,Tidak Pasti,Ya,Ya,Tidak,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 16:01:30,24,Melayu,Islam,perak,Perak,RM 0 - RM 100,STPM atau setaraf,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Pasti,Puas Hati,Tidak Pasti
3/29/2018 16:07:42,22,Cina,Buddha,Pahang,Pahang,RM 0 - RM 100,Diploma / Sijil,Tidak,Ya,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Ya,Puas Hati,Tidak Pasti
3/29/2018 16:11:44,36,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 16:17:11,39,Melayu,Islam,Negeri Sembilan,Negeri Sembilan,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak Pasti,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 16:28:00,22,Melayu,Islam,Johor,Johor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Tidak Pasti,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 16:28:21,40,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 16:32:41,39,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Tidak Pasti,Tidak,Ya,Tidak,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 16:40:19,39,Melayu,Islam,johor,Johor,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 16:51:40,40,Melayu,Islam,Perak,Perak,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 16:56:38,40,Melayu,Islam,johor,Johor,RM 301 - RM 500,Siswazah (Masters/PHD),Ya,Ya,Tidak,Tidak Pasti,Tidak,Tidak,Tidak,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 16:58:50,42,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Diploma / Sijil,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 17:08:50,40,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 17:20:54,40,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 17:28:37,23,Cina,Buddha,Pulau Pinang,Pulau Pinang,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 17:35:26,40,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Diploma / Sijil,Ya,Ya,Tidak Pasti,Tidak,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 17:37:50,40,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Tidak,Tidak Pasti,Tidak,Tidak Pasti,Tidak,Tidak Pasti,Tidak Puas Hati,Tidak Pasti
3/29/2018 17:39:17,44,Orang Asli,Islam,Pulau Pinang,Pulau Pinang,RM 301 - RM 500,Siswazah (Masters/PHD),Ya,Tidak,Tidak Pasti,Ya,Tidak Pasti,Ya,Tidak Pasti,Sedikit Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 17:56:16,54,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,SPM/SPMV atau setaraf,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Sedikit Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 17:56:33,29,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Ya,Tidak,Tidak Pasti,Ya,Tidak Pasti,Ya,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 18:05:00,33,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Puas Hati,Tidak Pasti
3/29/2018 18:10:48,40,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,Siswazah (Masters/PHD),Ya,Tidak,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 18:10:58,40,Melayu,Islam,kuala lumpur,Kuala Lumpur,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 18:13:28,34,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 18:42:55,27,Melayu,Islam,Kuala Lumpur,Kuala Lumpur,RM 0 - RM 100,Siswazah (Masters/PHD),Ya,Ya,Ya,Ya,Tidak Pasti,Tidak,Tidak Pasti,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 18:43:16,39,Melayu,Islam,Selangor,Selangor,RM 500 dan lebih,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 18:43:20,48,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Tidak,Puas Hati,Barisan Nasional (BN)
3/29/2018 18:49:58,22,Melayu,Islam,Melaka,Melaka,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Tidak Pasti,Puas Hati,Tidak Pasti
3/29/2018 18:50:48,20,Melayu,Islam,Sepang,Selangor,RM 0 - RM 100,Diploma / Sijil,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 18:51:48,43,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,Diploma / Sijil,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 18:58:11,22,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,Diploma / Sijil,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Puas Hati,Tidak Pasti
3/29/2018 18:59:24,27,Melayu,Islam,Kuala Lumpur,Kuala Lumpur,RM 0 - RM 100,Diploma / Sijil,Tidak,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 18:59:34,27,Melayu,Islam,Kuala Lumpur,Kuala Lumpur,RM 0 - RM 100,Diploma / Sijil,Tidak,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 19:01:39,27,Melayu,Islam,Terengganu,Terengganu,RM 101 - RM 300,Ijazah Sarjana Muda,Tidak,Ya,Tidak Pasti,Ya,Ya,Tidak,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 19:07:23,47,Melayu,Islam,Kuala lumpur,Kuala Lumpur,RM 101 - RM 300,SRP/PMR atau lebih rendah,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak Pasti,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 19:07:27,53,Melayu,Islam,Kuala lumpur,Kuala Lumpur,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 19:08:27,21,Melayu,Islam,KL,Kuala Lumpur,RM 0 - RM 100,Diploma / Sijil,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 19:08:49,57,Melayu,Islam,Putrajaya,Putrajaya,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Puas Hati,Barisan Nasional (BN)
3/29/2018 19:13:50,19,Melayu,Islam,Selangor,Selangor,RM 101 - RM 300,SPM/SPMV atau setaraf,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak,Tidak Puas Hati,Tidak Pasti
3/29/2018 19:15:50,26,Melayu,Islam,Kuala Lumpur,Kuala Lumpur,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Tidak Puas Hati,Tidak Pasti
3/29/2018 19:21:42,38,Melayu,Islam,kuala lumpur,Kuala Lumpur,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 19:21:48,22,Melayu,Islam,Kuala Lumpur,Kuala Lumpur,RM 101 - RM 300,Diploma / Sijil,Ya,Ya,Tidak Pasti,Tidak Pasti,Ya,Tidak,Ya,Tidak Puas Hati,Pas dan Gabungan nya
3/29/2018 19:23:23,51,Melayu,Islam,Selangor,Selangor,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak,Ya,Sedikit Tidak Puas Hati,Barisan Nasional (BN)
3/29/2018 19:26:31,22,Melayu,Islam,TERENGGANU,Terengganu,RM 0 - RM 100,SPM/SPMV atau setaraf,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Puas Hati,Barisan Nasional (BN)
3/29/2018 19:32:32,22,Melayu,Islam,Kedah,Kedah,RM 101 - RM 300,STPM atau setaraf,Tidak,Tidak,Ya,Ya,Ya,Tidak Pasti,Ya,Sedikit Tidak Puas Hati,Pakatan Harapan (PH)
3/29/2018 19:40:57,28,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Tidak Pasti,Ya,Tidak,Puas Hati,Pas dan Gabungan nya
3/29/2018 19:50:07,29,Melayu,Islam,Pulau Pinang,Pulau Pinang,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Tidak Pasti,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 19:51:56,25,Lain-lain,Islam,Perak,Perak,RM 101 - RM 300,Ijazah Sarjana Muda,Ya,Ya,Tidak Pasti,Ya,Tidak Pasti,Tidak Pasti,Ya,Sedikit Tidak Puas Hati,Tidak Pasti
3/29/2018 20:52:58,27,Melayu,Islam,Kedah,Kedah,RM 0 - RM 100,Ijazah Sarjana Muda,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Sedikit Tidak Puas Hati,Pas dan Gabungan nya
